'may 20 2034', '2034-05-20'
'tuesday 1 july 1794', '1794-07-01'
'1805 3 october', '1805-10-03'
'26 january 1791', '1791-01-26'
'24/02/2044', '2044-02-24'
'saturday 27 june 1987', '1987-06-27'
'7 oct 2060', '2060-10-07'
'monday 1805 18 03', '1805-03-18'
'jul 4 1830', '1830-07-04'
'thursday august 13 1874', '1874-08-13'
'apr 13 1941', '1941-04-13'
'1565 1 march', '1565-03-01'
'thu 1627 3 june', '1627-06-03'
'1633 2 sep', '1633-09-02'
'nov 21 1844', '1844-11-21'
'18 august 1803', '1803-08-18'
'19 apr 1522', '1522-04-19'
'30 june 1930', '1930-06-30'
'monday 17 october 1927', '1927-10-17'
'2008 30 june', '2008-06-30'
'20 february 1855', '1855-02-20'
'friday 29 august 1856', '1856-08-29'
'7 aug 1592', '1592-08-07'
'tuesday 5 october 1886', '1886-10-05'
'24 october 1652', '1652-10-24'
'tue 29 jun 1824', '1824-06-29'
'18 november 1596', '1596-11-18'
'nov 15 1586', '1586-11-15'
'19/11/1802', '1802-11-19'
'12 april 1762', '1762-04-12'
'tuesday april 1 1681', '1681-04-01'
'january 10 2056', '2056-01-10'
'jun 1 1971', '1971-06-01'
'april 20 1804', '1804-04-20'
'16 july 2049', '2049-07-16'
'friday october 24 1704', '1704-10-24'
'september 8 1949', '1949-09-08'
'sunday august 11 2041', '2041-08-11'
'march 4 1545', '1545-03-04'
'april 3 1665', '1665-04-03'
'20/08/1623', '1623-08-20'
'may 30 2034', '2034-05-30'
'september 12 1902', '1902-09-12'
'dec 20 1756', '1756-12-20'
'22/09/2064', '2064-09-22'
'sun 17 feb 1974', '1974-02-17'
'6 september 1677', '1677-09-06'
'july 24 1750', '1750-07-24'
'january 25 1945', '1945-01-25'
'1/23/18', '1718-01-23'
'jun 10 1862', '1862-06-10'
'6/12/23', '2023-06-12'
'november 12 1576', '1576-11-12'
'jan 2 1721', '1721-01-02'
'october 11 1696', '1696-10-11'
'december 14 1570', '1570-12-14'
'mar 27 1713', '1713-03-27'
'aug 26 1731', '1731-08-26'
'saturday 30 december 1522', '1522-12-30'
'april 16 1897', '1897-04-16'
'june 3 1945', '1945-06-03'
'sat 10 dec 1898', '1898-12-10'
'may 11 1889', '1889-05-11'
'6 oct 1934', '1934-10-06'
'9 jun 2043', '2043-06-09'
'jul 24 2030', '2030-07-24'
'tuesday 11 may 2038', '2038-05-11'
'2059 22 jul', '2059-07-22'
'march 22 1790', '1790-03-22'
'january 19 1604', '1604-01-19'
'sunday may 5 1680', '1680-05-05'
'march 14 1625', '1625-03-14'
'wed 1914 30 december', '1914-12-30'
'mar 21 1678', '1678-03-21'
'january 7 1596', '1596-01-07'
'april 8 1800', '1800-04-08'
'dec 7 1750', '1750-12-07'
'1 october 1796', '1796-10-01'
'thursday june 24 1627', '1627-06-24'
'2 may 1769', '1769-05-02'
'wednesday september 14 1718', '1718-09-14'
'may 10 1719', '1719-05-10'
'wednesday september 14 2016', '2016-09-14'
'14 february 1763', '1763-02-14'
'sep 23 2031', '2031-09-23'
'oct 8 1627', '1627-10-08'
'sun 1957 3 november', '1957-11-03'
'sun 1935 29 september', '1935-09-29'
'1841 9 january', '1841-01-09'
'tuesday 2000 19 09', '2000-09-19'
'february 27 1939', '1939-02-27'
'16 december 1810', '1810-12-16'
'august 6 1909', '1909-08-06'
'aug 13 1614', '1614-08-13'
'1564 9 december', '1564-12-09'
'december 17 1964', '1964-12-17'
'oct 15 1842', '1842-10-15'
'sep 27 2050', '2050-09-27'
'may 20 1631', '1631-05-20'
'25 dec 2068', '2068-12-25'
'thursday april 23 1840', '1840-04-23'
'19 july 1756', '1756-07-19'
'6 aug 1794', '1794-08-06'
'jul 24 1957', '1957-07-24'
'19 feb 1569', '1569-02-19'
'wednesday 2002 1 05', '2002-05-01'
'27 may 1634', '1634-05-27'
'july 4 1582', '1582-07-04'
'nov 10 2017', '2017-11-10'
'28 august 1635', '1635-08-28'
'1856 1 sep', '1856-09-01'
'1960 21 sep', '1960-09-21'
'august 12 2025', '2025-08-12'
'jan 15 1914', '1914-01-15'
'feb 20 1948', '1948-02-20'
'17 january 1594', '1594-01-17'
'1671 27 may', '1671-05-27'
'dec 9 1569', '1569-12-09'
'1931 22 december', '1931-12-22'
'wednesday september 15 2027', '2027-09-15'
'1941 25 december', '1941-12-25'
'tuesday september 7 1621', '1621-09-07'
'june 9 1796', '1796-06-09'
'20 december 1876', '1876-12-20'
'july 19 1747', '1747-07-19'
'4 november 1559', '1559-11-04'
'october 4 1953', '1953-10-04'
'monday march 7 1927', '1927-03-07'
'august 10 1569', '1569-08-10'
'wednesday january 20 1813', '1813-01-20'
'saturday 1941 29 11', '1941-11-29'
'20 may 1985', '1985-05-20'
'3/27/81', '1881-03-27'
'march 18 1718', '1718-03-18'
'nov 1 1904', '1904-11-01'
'9 may 1925', '1925-05-09'
'1975 17 apr', '1975-04-17'
'01/08/1769', '1769-08-01'
'thursday august 9 1708', '1708-08-09'
'1951 24 november', '1951-11-24'
'wed 9 jun 1943', '1943-06-09'
'april 17 1680', '1680-04-17'
'sat 27 jun 1643', '1643-06-27'
'february 7 1704', '1704-02-07'
'monday september 26 1904', '1904-09-26'
'nov 12 1878', '1878-11-12'
'april 13 1606', '1606-04-13'
'1788 29 november', '1788-11-29'
'19 august 2034', '2034-08-19'
'saturday 1750 5 09', '1750-09-05'
'october 19 2061', '2061-10-19'
'27 may 1708', '1708-05-27'
'jan 5 1873', '1873-01-05'
'1955 7 february', '1955-02-07'
'tuesday march 3 2054', '2054-03-03'
'sat 16 aug 1975', '1975-08-16'
'november 30 1740', '1740-11-30'
'15 october 1523', '1523-10-15'
'23 september 1840', '1840-09-23'
'1 july 1778', '1778-07-01'
'wednesday 1981 29 07', '1981-07-29'
'14 march 1585', '1585-03-14'
'22 jan 1867', '1867-01-22'
'aug 15 2029', '2029-08-15'
'1921 3 jun', '1921-06-03'
'fri 1954 10 september', '1954-09-10'
'sep 27 2020', '2020-09-27'
'3 january 1605', '1605-01-03'
'24/02/1921', '1921-02-24'
'tue 15 oct 1782', '1782-10-15'
'3/19/64', '1564-03-19'
'fri 1742 12 october', '1742-10-12'
'april 9 1838', '1838-04-09'
'monday 28 september 2020', '2020-09-28'
'wed 1961 27 december', '1961-12-27'
'14 september 1621', '1621-09-14'
'january 1 1611', '1611-01-01'
'1960 3 mar', '1960-03-03'
'2 july 1574', '1574-07-02'
'sunday 1704 11 05', '1704-05-11'
'wednesday 9 march 1644', '1644-03-09'
'may 30 1765', '1765-05-30'
'tuesday april 14 2020', '2020-04-14'
'aug 31 1578', '1578-08-31'
'8 february 1573', '1573-02-08'
'aug 10 2052', '2052-08-10'
'friday january 21 2022', '2022-01-21'
'1711 18 december', '1711-12-18'
'saturday 15 september 1764', '1764-09-15'
'3/19/54', '2054-03-19'
'mon 1929 16 september', '1929-09-16'
'august 18 1711', '1711-08-18'
'1986 23 feb', '1986-02-23'
'1978 31 mar', '1978-03-31'
'march 10 1964', '1964-03-10'
'thursday january 17 1535', '1535-01-17'
'20 march 1731', '1731-03-20'
'7 november 1842', '1842-11-07'
'jul 7 1876', '1876-07-07'
'january 10 1819', '1819-01-10'
'12/30/86', '1986-12-30'
'1 july 2041', '2041-07-01'
'12 may 1545', '1545-05-12'
'february 7 1937', '1937-02-07'
'july 17 1578', '1578-07-17'
'25 september 1816', '1816-09-25'
'1561 9 feb', '1561-02-09'
'july 24 1623', '1623-07-24'
'1584 17 july', '1584-07-17'
'21 oct 1557', '1557-10-21'
'april 29 1991', '1991-04-29'
'1858 18 january', '1858-01-18'
'jan 8 1991', '1991-01-08'
'thu 1 nov 2035', '2035-11-01'
'feb 13 1842', '1842-02-13'
'2 december 1995', '1995-12-02'
'1908 20 may', '1908-05-20'
'aug 3 1851', '1851-08-03'
'september 4 1633', '1633-09-04'
'fri 8 nov 1737', '1737-11-08'
'18 may 2062', '2062-05-18'
'26 apr 1894', '1894-04-26'
'apr 28 1678', '1678-04-28'
'sep 30 1912', '1912-09-30'
'1 september 1583', '1583-09-01'
'11 january 1640', '1640-01-11'
'24 may 1636', '1636-05-24'
'friday february 4 1927', '1927-02-04'
'31/05/1988', '1988-05-31'
'thursday july 23 1874', '1874-07-23'
'wednesday june 24 1885', '1885-06-24'
'october 21 1788', '1788-10-21'
'8 nov 1637', '1637-11-08'
'saturday 1763 26 03', '1763-03-26'
'5 november 1702', '1702-11-05'
'6/21/00', '1800-06-21'
'10 march 1838', '1838-03-10'
'may 14 1979', '1979-05-14'
'tuesday august 30 1712', '1712-08-30'
'10/5/02', '1902-10-05'
'sun 1 aug 2010', '2010-08-01'
'oct 3 2058', '2058-10-03'
'june 5 1828', '1828-06-05'
'thursday july 20 1690', '1690-07-20'
'friday february 18 1785', '1785-02-18'
'jul 14 1536', '1536-07-14'
'30 august 1986', '1986-08-30'
'1567 29 november', '1567-11-29'
'09/07/1594', '1594-07-09'
'august 3 1693', '1693-08-03'
'jan 20 2024', '2024-01-20'
'july 4 1957', '1957-07-04'
'september 26 1932', '1932-09-26'
'april 23 1635', '1635-04-23'
'july 18 1810', '1810-07-18'
'jan 28 1875', '1875-01-28'
'june 7 1840', '1840-06-07'
'15 april 1903', '1903-04-15'
'sunday december 29 1793', '1793-12-29'
'feb 17 2016', '2016-02-17'
'thursday 2007 22 11', '2007-11-22'
'tue 1891 28 july', '1891-07-28'
'oct 24 1728', '1728-10-24'
'may 1 1832', '1832-05-01'
'monday june 6 1904', '1904-06-06'
'thu 1660 9 december', '1660-12-09'
'tuesday 27 august 1675', '1675-08-27'
'28/10/1885', '1885-10-28'
'thursday october 11 1663', '1663-10-11'
'26 june 1854', '1854-06-26'
'mar 28 1689', '1689-03-28'
'feb 13 1928', '1928-02-13'
'saturday february 20 1537', '1537-02-20'
'18 march 1677', '1677-03-18'
'9 august 2062', '2062-08-09'
'26 april 2014', '2014-04-26'
'mon 1931 9 february', '1931-02-09'
'5/7/14', '2014-05-07'
'28 december 1861', '1861-12-28'
'thu 1966 3 february', '1966-02-03'
'wednesday may 15 2052', '2052-05-15'
'tuesday june 16 1818', '1818-06-16'
'sep 20 2050', '2050-09-20'
'27 jun 1941', '1941-06-27'
'january 11 2033', '2033-01-11'
'24 march 2055', '2055-03-24'
'jan 24 1808', '1808-01-24'
'25 august 1577', '1577-08-25'
'mar 12 1688', '1688-03-12'
'aug 20 1585', '1585-08-20'
'29 jul 1613', '1613-07-29'
'thursday 5 november 1665', '1665-11-05'
'sun 12 mar 1651', '1651-03-12'
'4 march 1687', '1687-03-04'
'03/03/1629', '1629-03-03'
'tuesday february 3 1824', '1824-02-03'
'nov 26 1915', '1915-11-26'
'fri 2049 16 april', '2049-04-16'
'9 apr 1988', '1988-04-09'
'sunday 1849 16 12', '1849-12-16'
'may 15 1916', '1916-05-15'
'june 12 1938', '1938-06-12'
'jun 8 1545', '1545-06-08'
'20 july 1813', '1813-07-20'
'sunday 20 december 1857', '1857-12-20'
'may 7 1609', '1609-05-07'
'1918 30 nov', '1918-11-30'
'feb 10 1937', '1937-02-10'
'12/7/68', '1768-12-07'
'22 may 1929', '1929-05-22'
'18 feb 1997', '1997-02-18'
'friday march 13 2020', '2020-03-13'
'wednesday 1737 11 09', '1737-09-11'
'12 sep 1946', '1946-09-12'
'18 jan 1593', '1593-01-18'
'october 30 1841', '1841-10-30'
'saturday april 24 1948', '1948-04-24'
'26 april 2056', '2056-04-26'
'1923 27 january', '1923-01-27'
'3 may 1571', '1571-05-03'
'march 26 2009', '2009-03-26'
'17 march 1801', '1801-03-17'
'11 april 1770', '1770-04-11'
'apr 10 1642', '1642-04-10'
'wednesday june 18 1698', '1698-06-18'
'8/21/05', '1605-08-21'
'monday march 11 1867', '1867-03-11'
'7 feb 1869', '1869-02-07'
'february 9 1771', '1771-02-09'
'may 31 1984', '1984-05-31'
'monday 2060 1 03', '2060-03-01'
'saturday july 29 1815', '1815-07-29'
'1929 23 aug', '1929-08-23'
'september 16 1816', '1816-09-16'
'jan 29 1556', '1556-01-29'
'24 november 1572', '1572-11-24'
'saturday january 30 1649', '1649-01-30'
'22 feb 1835', '1835-02-22'
'october 21 1646', '1646-10-21'
'30 january 1794', '1794-01-30'
'19/02/1607', '1607-02-19'
'24 october 2055', '2055-10-24'
'february 7 1932', '1932-02-07'
'january 3 1711', '1711-01-03'
'april 1 1906', '1906-04-01'
'december 28 1787', '1787-12-28'
'25 december 1681', '1681-12-25'
'july 8 1875', '1875-07-08'
'2043 22 april', '2043-04-22'
'may 1 2007', '2007-05-01'
'sunday 16 august 1885', '1885-08-16'
'tuesday june 26 1742', '1742-06-26'
'thursday 30 january 1653', '1653-01-30'
'31 may 1741', '1741-05-31'
'december 21 1638', '1638-12-21'
'9 january 1896', '1896-01-09'
'1844 27 jan', '1844-01-27'
'1685 13 aug', '1685-08-13'
'20 october 1566', '1566-10-20'
'02/07/1984', '1984-07-02'
'may 28 1630', '1630-05-28'
'july 15 1770', '1770-07-15'
'mar 3 1966', '1966-03-03'
'nov 9 1657', '1657-11-09'
'19 august 1758', '1758-08-19'
'8/28/51', '2051-08-28'
'thursday december 13 1635', '1635-12-13'
'january 10 1975', '1975-01-10'
'sunday july 19 1587', '1587-07-19'
'8 april 1853', '1853-04-08'
'jun 13 2047', '2047-06-13'
'8 december 1838', '1838-12-08'
'august 19 1810', '1810-08-19'
'24 december 1681', '1681-12-24'
'sunday 1673 10 12', '1673-12-10'
'december 17 1605', '1605-12-17'
'sun 1594 29 may', '1594-05-29'
'wed 1863 7 october', '1863-10-07'
'1574 10 feb', '1574-02-10'
'nov 17 1579', '1579-11-17'
'jan 23 1561', '1561-01-23'
'31 may 1754', '1754-05-31'
'21 may 1959', '1959-05-21'
'6/20/38', '1738-06-20'
'february 28 1744', '1744-02-28'
'1841 5 jan', '1841-01-05'
'21 december 1710', '1710-12-21'
'dec 21 1867', '1867-12-21'
'wednesday january 21 2065', '2065-01-21'
'1718 6 apr', '1718-04-06'
'january 5 1899', '1899-01-05'
'1608 24 dec', '1608-12-24'
'tuesday october 6 1789', '1789-10-06'
'saturday june 22 1946', '1946-06-22'
'1/30/59', '1859-01-30'
'1888 8 march', '1888-03-08'
'22 apr 1627', '1627-04-22'
'october 29 1889', '1889-10-29'
'dec 28 2033', '2033-12-28'
'21 july 1628', '1628-07-21'
'8 november 1995', '1995-11-08'
'mar 20 1547', '1547-03-20'
'november 16 1989', '1989-11-16'
'oct 18 2005', '2005-10-18'
'wednesday january 21 1976', '1976-01-21'
'24 november 2006', '2006-11-24'
'dec 23 1702', '1702-12-23'
'10 august 1668', '1668-08-10'
'29 jan 1735', '1735-01-29'
'dec 9 2045', '2045-12-09'
'tuesday 19 june 1849', '1849-06-19'
'friday november 26 1554', '1554-11-26'
'july 28 1618', '1618-07-28'
'tuesday 7 january 2053', '2053-01-07'
'may 30 2043', '2043-05-30'
'oct 25 1645', '1645-10-25'
'15 september 1572', '1572-09-15'
'december 20 1575', '1575-12-20'
'16 november 1879', '1879-11-16'
'18 december 2049', '2049-12-18'
'20 may 2002', '2002-05-20'
'jan 1 2010', '2010-01-01'
'sep 20 1632', '1632-09-20'
'tue 6 feb 1720', '1720-02-06'
'thursday may 21 1767', '1767-05-21'
'august 26 1644', '1644-08-26'
'10 march 1820', '1820-03-10'
'august 7 1679', '1679-08-07'
'2034 3 november', '2034-11-03'
'august 17 1720', '1720-08-17'
'jun 26 1783', '1783-06-26'
'wednesday november 15 2000', '2000-11-15'
'september 5 1826', '1826-09-05'
'16/12/1967', '1967-12-16'
'thursday september 12 1658', '1658-09-12'
'wednesday june 18 1547', '1547-06-18'
'25/03/2019', '2019-03-25'
'26 april 1704', '1704-04-26'
'december 27 1567', '1567-12-27'
'tuesday 8 december 1829', '1829-12-08'
'1569 15 mar', '1569-03-15'
'jun 8 1886', '1886-06-08'
'12 aug 1667', '1667-08-12'
'jan 2 1664', '1664-01-02'
'1937 20 april', '1937-04-20'
'september 27 1599', '1599-09-27'
'wednesday august 7 1709', '1709-08-07'
'mar 23 1665', '1665-03-23'
'wednesday january 11 1736', '1736-01-11'
'nov 27 1788', '1788-11-27'
'jul 12 1787', '1787-07-12'
'october 1 1821', '1821-10-01'
'thursday august 30 1770', '1770-08-30'
'november 24 1689', '1689-11-24'
'sunday 28 march 2032', '2032-03-28'
'thursday 3 april 1766', '1766-04-03'
'november 18 1570', '1570-11-18'
'19 june 1569', '1569-06-19'
'26 november 1698', '1698-11-26'
'24 nov 1578', '1578-11-24'
'thursday july 8 1593', '1593-07-08'
'august 7 1575', '1575-08-07'
'1795 7 nov', '1795-11-07'
'1856 10 oct', '1856-10-10'
'sep 13 1597', '1597-09-13'
'5 september 1669', '1669-09-05'
'22/02/1811', '1811-02-22'
'wednesday 1917 25 04', '1917-04-25'
'8/27/52', '1752-08-27'
'aug 21 1811', '1811-08-21'
'7 june 1596', '1596-06-07'
'tuesday 1769 5 09', '1769-09-05'
'saturday march 3 2029', '2029-03-03'
'18 june 1553', '1553-06-18'
'monday 10 february 2070', '2070-02-10'
'may 16 2044', '2044-05-16'
'2056 1 november', '2056-11-01'
'friday july 23 1683', '1683-07-23'
'7/28/15', '1615-07-28'
'1/31/15', '1715-01-31'
'11 may 1874', '1874-05-11'
'feb 26 2065', '2065-02-26'
'aug 27 2057', '2057-08-27'
'12/3/07', '1807-12-03'
'8 may 1781', '1781-05-08'
'29 sep 1990', '1990-09-29'
'5 october 1679', '1679-10-05'
'june 23 1783', '1783-06-23'
'10/27/60', '1960-10-27'
'aug 24 1839', '1839-08-24'
'jan 21 1774', '1774-01-21'
'wednesday march 15 1730', '1730-03-15'
'december 9 1994', '1994-12-09'
'3/12/47', '1647-03-12'
'oct 26 2008', '2008-10-26'
'jun 24 1611', '1611-06-24'
'sep 6 1696', '1696-09-06'
'sep 9 1891', '1891-09-09'
'november 3 1892', '1892-11-03'
'22/04/1680', '1680-04-22'
'1939 9 february', '1939-02-09'
'12/16/62', '1862-12-16'
'1703 30 sep', '1703-09-30'
'tuesday 1543 15 06', '1543-06-15'
'october 4 1777', '1777-10-04'
'march 23 1616', '1616-03-23'
'tue 1981 15 december', '1981-12-15'
'monday june 8 1931', '1931-06-08'
'thursday september 11 1930', '1930-09-11'
'august 30 1667', '1667-08-30'
'26 november 1810', '1810-11-26'
'mon 20 feb 1533', '1533-02-20'
'thu 10 oct 1720', '1720-10-10'
'june 24 1969', '1969-06-24'
'6 november 1812', '1812-11-06'
'thursday july 11 1596', '1596-07-11'
'june 29 1571', '1571-06-29'
'5 september 2068', '2068-09-05'
'jun 9 1608', '1608-06-09'
'mar 30 2054', '2054-03-30'
'feb 16 2036', '2036-02-16'
'mon 2004 1 march', '2004-03-01'
'16/04/1986', '1986-04-16'
'friday august 13 1976', '1976-08-13'
'monday may 24 1700', '1700-05-24'
'april 20 1636', '1636-04-20'
'thursday march 27 1659', '1659-03-27'
'29 september 1563', '1563-09-29'
'monday january 1 1883', '1883-01-01'
'dec 21 1760', '1760-12-21'
'tuesday july 7 1570', '1570-07-07'
'27 may 1553', '1553-05-27'
'1626 1 nov', '1626-11-01'
'april 9 1879', '1879-04-09'
'wednesday 1525 30 09', '1525-09-30'
'june 19 1906', '1906-06-19'
'april 29 1872', '1872-04-29'
'1619 6 november', '1619-11-06'
'jun 5 1827', '1827-06-05'
'monday april 22 1895', '1895-04-22'
'jan 4 1753', '1753-01-04'
'8 october 1961', '1961-10-08'
'1985 23 march', '1985-03-23'
'28 mar 1583', '1583-03-28'
'friday 1620 3 01', '1620-01-03'
'monday january 22 1770', '1770-01-22'
'oct 30 1621', '1621-10-30'
'tuesday 1584 10 07', '1584-07-10'
'feb 15 1683', '1683-02-15'
'01/05/1691', '1691-05-01'
'may 3 1997', '1997-05-03'
'1587 15 march', '1587-03-15'
'2062 10 dec', '2062-12-10'
'18/07/1815', '1815-07-18'
'21 august 1895', '1895-08-21'
'march 29 1794', '1794-03-29'
'wednesday april 1 2043', '2043-04-01'
'16 december 1790', '1790-12-16'
'saturday june 10 1634', '1634-06-10'
'4/8/28', '1628-04-08'
'may 15 1737', '1737-05-15'
'wed 22 jul 1807', '1807-07-22'
'1937 5 nov', '1937-11-05'
'20 november 1899', '1899-11-20'
'tuesday may 16 1916', '1916-05-16'
'18 june 1714', '1714-06-18'
'sun 11 dec 1549', '1549-12-11'
'25 october 2036', '2036-10-25'
'may 26 1977', '1977-05-26'
'november 28 1611', '1611-11-28'
'october 21 1997', '1997-10-21'
'1810 7 august', '1810-08-07'
'saturday 2059 15 02', '2059-02-15'
'november 14 2060', '2060-11-14'
'jan 2 1789', '1789-01-02'
'mar 21 2018', '2018-03-21'
'august 29 1991', '1991-08-29'
'dec 5 1522', '1522-12-05'
'august 28 2063', '2063-08-28'
'12/04/1826', '1826-04-12'
'fri 2039 2 december', '2039-12-02'
'thursday october 27 1842', '1842-10-27'
'october 4 2017', '2017-10-04'
'april 17 1579', '1579-04-17'
'sunday 1704 13 04', '1704-04-13'
'12 january 1643', '1643-01-12'
'sat 15 may 1632', '1632-05-15'
'1524 11 april', '1524-04-11'
'1669 29 dec', '1669-12-29'
'tue 6 oct 1778', '1778-10-06'
'1906 14 july', '1906-07-14'
'friday 19 august 2039', '2039-08-19'
'3/5/00', '1800-03-05'
'13 december 1886', '1886-12-13'
'23 aug 1573', '1573-08-23'
'16 september 1767', '1767-09-16'
'sat 25 may 1624', '1624-05-25'
'march 12 1642', '1642-03-12'
'sunday 26 may 1805', '1805-05-26'
'wednesday january 1 2070', '2070-01-01'
'17 may 1823', '1823-05-17'
'june 6 1720', '1720-06-06'
'27/02/1959', '1959-02-27'
'mar 22 1661', '1661-03-22'
'15 jun 1981', '1981-06-15'
'fri 1664 14 november', '1664-11-14'
'may 20 1580', '1580-05-20'
'sunday 2 august 2048', '2048-08-02'
'28 february 1689', '1689-02-28'
'friday 1882 10 02', '1882-02-10'
'january 22 1880', '1880-01-22'
'january 12 1759', '1759-01-12'
'10 april 1602', '1602-04-10'
'august 31 2057', '2057-08-31'
'1836 8 august', '1836-08-08'
'wed 29 sep 1915', '1915-09-29'
'apr 18 1655', '1655-04-18'
'saturday august 8 1592', '1592-08-08'
'23/01/1985', '1985-01-23'
'17 october 1939', '1939-10-17'
'1793 5 may', '1793-05-05'
'may 7 2062', '2062-05-07'
'tuesday 1742 23 10', '1742-10-23'
'sun 1772 8 november', '1772-11-08'
'1719 17 january', '1719-01-17'
'october 3 1825', '1825-10-03'
'feb 4 1868', '1868-02-04'
'wednesday 1610 31 03', '1610-03-31'
'december 25 1531', '1531-12-25'
'aug 21 1685', '1685-08-21'
'march 17 1665', '1665-03-17'
'july 22 1835', '1835-07-22'
'wednesday 1639 12 01', '1639-01-12'
'29 may 1900', '1900-05-29'
'august 9 1624', '1624-08-09'
'december 26 1853', '1853-12-26'
'1678 10 jan', '1678-01-10'
'sunday 2048 30 08', '2048-08-30'
'aug 25 1627', '1627-08-25'
'4/25/54', '1654-04-25'
'24 march 2067', '2067-03-24'
'nov 15 2055', '2055-11-15'
'14 december 1905', '1905-12-14'
'june 12 1884', '1884-06-12'
'april 29 1885', '1885-04-29'
'sat 1619 27 april', '1619-04-27'
'thursday 22 october 1542', '1542-10-22'
'july 18 1719', '1719-07-18'
'thursday 1 october 1981', '1981-10-01'
'saturday april 30 1729', '1729-04-30'
'1562 9 march', '1562-03-09'
'1736 15 mar', '1736-03-15'
'1995 30 sep', '1995-09-30'
'9 aug 2034', '2034-08-09'
'monday june 4 1787', '1787-06-04'
'mar 1 1836', '1836-03-01'
'14 april 1916', '1916-04-14'
'saturday february 23 1709', '1709-02-23'
'jun 5 1853', '1853-06-05'
'15 july 1830', '1830-07-15'
'18 oct 1644', '1644-10-18'
'november 29 1667', '1667-11-29'
'1888 4 april', '1888-04-04'
'wednesday may 24 1719', '1719-05-24'
'8/19/42', '2042-08-19'
'1986 7 april', '1986-04-07'
'7 september 1743', '1743-09-07'
'1894 12 september', '1894-09-12'
